float_id,latitude,longitude,time,depth,temperature,salinity
2903671,17.85,86.41,2026-08-12T06:00:00,0.0,29.3769474029541,34.20000076293945
2903671,17.85,86.41,2026-08-12T06:00:00,50.0,28.476947784423828,34.28746795654297
2903671,17.85,86.41,2026-08-12T06:00:00,100.0,28.226947784423828,34.37474060058594
2903671,17.85,86.41,2026-08-12T06:00:00,200.0,26.776947021484375,34.547943115234375
2903671,17.85,86.41,2026-08-12T06:00:00,500.0,23.476947784423828,35.044898986816406
2903671,17.85,86.41,2026-08-12T06:00:00,1000.0,17.1269474029541,35.75984573364258
2903671,17.85,86.41,2026-08-12T06:00:00,2000.0,5.326947212219238,37.10410690307617
2903672,16.2,87.8,2026-08-12T12:00:00,0.0,29.43921661376953,34.28414535522461
2903672,16.2,87.8,2026-08-12T12:00:00,50.0,28.539215087890625,34.36522674560547
2903672,16.2,87.8,2026-08-12T12:00:00,100.0,28.289215087890625,34.44489669799805
2903672,16.2,87.8,2026-08-12T12:00:00,200.0,26.839216232299805,34.59975051879883
2903672,16.2,87.8,2026-08-12T12:00:00,500.0,23.539215087890625,35.027809143066406
2903672,16.2,87.8,2026-08-12T12:00:00,1000.0,17.18921661376953,35.664920806884766
2903672,16.2,87.8,2026-08-12T12:00:00,2000.0,5.389215469360352,37.17205810546875
2903673,14.7,85.5,2026-08-13T00:00:00,0.0,29.484840393066406,34.29092788696289
2903673,14.7,85.5,2026-08-13T00:00:00,50.0,28.584840774536133,34.36003112792969
2903673,14.7,85.5,2026-08-13T00:00:00,100.0,28.334840774536133,34.42780685424805
2903673,14.7,85.5,2026-08-13T00:00:00,200.0,26.88484001159668,34.55984878540039
2903673,14.7,85.5,2026-08-13T00:00:00,500.0,23.584840774536133,34.93918228149414
2903673,14.7,85.5,2026-08-13T00:00:00,1000.0,17.234840393066406,35.60224533081055
2903673,14.7,85.5,2026-08-13T00:00:00,2000.0,5.434840202331543,37.26569747924805
2903674,13.4,89.1,2026-08-13T06:00:00,0.0,29.475624084472656,34.214111328125
2903674,13.4,89.1,2026-08-13T06:00:00,50.0,28.575624465942383,34.27666091918945
2903674,13.4,89.1,2026-08-13T06:00:00,100.0,28.325624465942383,34.33917999267578
2903674,13.4,89.1,2026-08-13T06:00:00,200.0,26.87562370300293,34.46492004394531
2903674,13.4,89.1,2026-08-13T06:00:00,500.0,23.575624465942383,34.86050033569336
2903674,13.4,89.1,2026-08-13T06:00:00,1000.0,17.225624084472656,35.62944412231445
2903674,13.4,89.1,2026-08-13T06:00:00,2000.0,5.425624370574951,37.29893493652344
2903675,15.6,88.3,2026-08-13T12:00:00,0.0,29.426769256591797,34.12432098388672
2903675,15.6,88.3,2026-08-13T12:00:00,50.0,28.526769638061523,34.1917610168457
2903675,15.6,88.3,2026-08-13T12:00:00,100.0,28.276769638061523,34.260501861572266
2903675,15.6,88.3,2026-08-13T12:00:00,200.0,26.82676887512207,34.40224838256836
2903675,15.6,88.3,2026-08-13T12:00:00,500.0,23.526769638061523,34.864105224609375
2903675,15.6,88.3,2026-08-13T12:00:00,1000.0,17.176769256591797,35.72151184082031
2903675,15.6,88.3,2026-08-13T12:00:00,2000.0,5.376769542694092,37.2412109375
